Player,RND,KPR,APR,FKPR,KMAX
"theozy
CAOS.GC",41,0.85,0.07,0.15,19
"Asia
UW.GC",24,0.75,0.08,0.04,18
"LokiPro
Wild",26,0.54,0.42,0.08,14
"Nami
NSR.I",22,0.77,0.27,0.05,17
"NeFi
PRZ",45,0.58,0.44,0.04,17
"Sato
GLRS",45,0.78,0.18,0.13,21
"thiefy
NTH",46,0.78,0.20,0.11,19
"ary
ZEN.GC",16,0.88,0.31,0.13,14
"VYX
FCN",59,0.64,0.44,0.10,17
"d4v41
PRX",81,0.64,0.42,0.05,15
"Demon1
NRG",53,0.77,0.19,0.15,17
"N4RRATE
KC",98,0.78,0.22,0.16,20
"eXampL
DIV",22,0.77,0.18,0.14,17
"stew
SFU.P",36,0.61,0.28,0.08,14
"azul
FIRE",36,0.86,0.42,0.11,18
"dth
KAMI",24,0.83,0.21,0.08,20
"Sand
EGYPT",42,0.76,0.17,0.10,24
"alkyia
BBL.Q",39,0.74,0.21,0.18,18
"QutionerX
BBL",42,0.90,0.24,0.33,20
"soren
Colo",24,0.83,0.13,0.21,20
"HANN
SRP",45,0.82,0.16,0.16,22
